OK 127ms 201.34.137.15:4100 cached
OK 19ms 2.24.124.64:443 cached
OK 7ms 45.40.150.4:80 cached
OK 2ms 45.33.107.237:51486 cached
OK 99ms 80.240.18.227:10051 cached
OK 123ms 3.112.47.207:29860 cached
OK 92ms 150.129.10.119:2054 cached
OK 82ms 150.129.10.119:2087
OK 84ms 150.129.10.119:8443
OK 101ms 159.195.244.171:2054
OK 96ms 159.195.79.121:2054
OK 184ms 31.76.71.130:443 cached
OK 97ms 31.76.85.162:443 cached
OK 153ms 144.31.106.40:8443 cached
OK 165ms 2.26.122.101:8443 cached
OK 161ms 2.26.224.91:8443 cached
OK 144ms 217.60.24.23:8443 cached
OK 106ms 13.113.195.74:14422 cached
OK 136ms 168.222.194.138:9880 cached
OK 126ms 91.224.86.107:9830 cached
OK 126ms 91.224.87.22:9873 cached
OK 123ms 91.224.87.22:9882 cached
OK 102ms 79.137.199.52:21 cached
OK 157ms japan.com:2053 cached
OK 199ms russia.com:2087 cached
OK 92ms singapore.com:8443 cached
OK 6ms 8.47.69.6:2087 cached
OK 7ms 8.6.112.6:2087 cached
OK 109ms 94.183.209.58:33843 cached
OK 161ms 94.183.209.58:443 cached
OK 106ms 94.183.209.58:8443 cached
OK 151ms 140.82.33.78:20827 cached
OK 158ms 185.32.6.173:443 cached
OK 105ms 177.3.208.85:443 cached
OK 64ms 146.190.174.67:386 cached
OK 9ms 172.235.43.210:53957 cached
OK 144ms 109.73.205.68:10443
OK 168ms 109.73.205.68:11443
OK 144ms 109.73.205.68:12443
OK 158ms 109.73.205.68:18443
OK 168ms 109.73.205.68:19443
OK 153ms 109.73.205.68:2083
OK 165ms 109.73.205.68:4443
OK 144ms 109.73.205.68:8443
OK 152ms 109.73.205.68:9443
OK 102ms 2.27.204.143:2053
OK 91ms 2.27.204.143:8443
OK 202ms 201.24.54.210:2083 cached
OK 235ms 201.24.54.210:2087 cached
OK 234ms 201.24.54.210:2096 cached
OK 213ms 201.24.54.210:9443 cached
OK 159ms 94.183.209.239:8443 cached
OK 161ms 94.183.209.243:2053 cached
OK 159ms 94.183.209.243:8443 cached
OK 107ms 3.112.129.179:36024 cached
OK 152ms 103.102.228.113:443 cached
OK 91ms 103.7.55.148:2053 cached
OK 239ms 132.243.30.210:443
OK 310ms 137.220.225.111:443
OK 308ms 137.220.225.56:443
OK 159ms 138.2.31.37:443
OK 168ms 138.2.52.152:443
OK 158ms 140.238.50.134:443
OK 165ms 140.83.55.25:443
OK 168ms 140.83.86.166:443
OK 158ms 141.147.162.33:443
OK 159ms 141.147.185.63:443
OK 159ms 149.28.21.106:443
OK 159ms 151.145.78.30:443
OK 158ms 153.121.32.71:443
OK 158ms 153.121.45.101:443
OK 166ms 153.121.76.150:443
OK 160ms 160.16.103.102:443
OK 158ms 160.16.109.149:443
OK 160ms 160.16.123.110:443
OK 157ms 160.16.209.61:443
OK 159ms 160.16.57.18:443
OK 158ms 160.16.59.9:443
OK 205ms 160.16.62.225:443
OK 205ms 160.16.62.84:443
OK 167ms 167.179.117.9:443
OK 159ms 176.97.73.228:443
OK 7ms 188.164.248.123:8443 cached
OK 7ms 188.164.248.67:443 cached
OK 159ms 207.148.99.230:443
OK 158ms 43.170.8.95:443
OK 160ms 47.245.62.50:443
OK 160ms 54.95.106.234:443
OK 162ms 64.176.54.102:443
OK 96ms 77.239.104.82:443 cached
OK 225ms 8.219.155.125:443
OK 227ms 8.219.195.31:443
OK 226ms 8.222.185.236:443
OK 229ms 8.222.193.153:443 cached
OK 95ms 94.159.97.247:443 cached
OK 12ms 147.182.212.232:56565 cached
OK 121ms 188.225.47.234:4100 cached
OK 128ms 5.42.103.91:2200 cached
OK 175ms 54.169.160.148:41402 cached
OK 130ms 194.55.239.190:8445
OK 91ms 157.90.165.181:11762 cached
OK 217ms gb.safepass.click:443 cached
