OK 157ms 45.144.53.115:443 cached
OK 5ms 45.131.211.136:443 cached
OK 301ms us3.boboly.ir:43780 cached
OK 104ms 45.140.204.162:2443 cached
OK 187ms 45.196.201.38:443 cached
OK 6ms 167.82.0.4:80 cached
OK 92ms 152.53.236.22:443 cached
OK 6ms 167.82.0.17:80 cached
OK 183ms 45.196.201.92:443 cached
OK 61ms 69.48.201.136:30016 cached
OK 128ms 45.196.201.116:443 cached
OK 147ms 95.85.247.7:443 cached
OK 164ms 82.29.43.29:443 cached
OK 498ms de.ld.prod.n7.homes:8444 cached
OK 6ms 45.130.125.209:8443 cached
OK 184ms 45.196.201.108:443 cached
OK 24ms 64.23.143.23:34045 cached
OK 5ms 151.101.1.194:443 cached
OK 161ms de.edge-9d7c.com:443 cached
OK 66ms 156.229.161.107:10001 cached
OK 187ms 45.196.201.200:443 cached
OK 183ms 45.196.201.56:443 cached
OK 158ms 204.216.216.23:10086 cached
OK 152ms 45.144.53.99:443
OK 193ms 45.196.201.111:443 cached
OK 184ms 45.196.201.19:443 cached
OK 38ms 18.238.109.113:80 cached
OK 36ms 185.164.111.48:443 cached
OK 99ms 23.26.37.120:8443 cached
OK 90ms 76.164.202.210:448 cached
OK 172ms 31.57.29.46:8443 cached
OK 184ms 45.196.201.43:443 cached
OK 219ms 46.247.42.198:443 cached
OK 161ms 78.47.104.140:22006 cached
OK 157ms 45.144.53.163:443 cached
OK 184ms 45.196.201.168:443 cached
OK 150ms 51.158.206.29:23576 cached
OK 212ms balanced-goat.rooster465.autos:443 cached
OK 165ms de.vpnbase.net:80 cached
OK 164ms 148.253.211.10:443 cached
OK 202ms open-octopus.rooster465.autos:443 cached
OK 102ms 128.204.223.94:9815 cached
OK 133ms 2.26.125.51:443 cached
OK 5ms 170.114.45.6:443 cached
OK 155ms 159.195.45.129:443 cached
OK 31ms 69.46.46.4:443
OK 184ms 45.196.201.173:443 cached
OK 232ms 83.222.23.81:38065 cached
OK 188ms 45.196.201.166:443 cached
OK 454ms 91.218.143.194:43798 cached
OK 248ms 103.106.229.190:13898 cached
OK 496ms oman-naran.fizikade.ir:42268 cached
OK 181ms 140.245.50.174:10000 cached
OK 11ms 45.130.125.207:8443 cached
OK 188ms 45.196.201.23:443 cached
OK 147ms 5.83.129.253:443 cached
OK 184ms 45.196.201.182:443 cached
OK 100ms 204.216.216.23:1114 cached
OK 455ms de.fars-uvira.ir:8443 cached
OK 188ms 45.196.201.69:443 cached
OK 303ms 103.161.237.54:443 cached
OK 188ms 90.156.255.166:36100 cached
OK 31ms 154.19.184.40:52535 cached
OK 164ms 198.13.60.163:443 cached
OK 179ms 95.85.246.65:443
OK 161ms 82.29.43.27:443 cached
OK 143ms 45.81.254.101:443
OK 156ms 193.42.12.54:8443 cached
OK 128ms 45.196.201.88:443 cached
OK 184ms 45.196.201.201:443 cached
OK 151ms stirred-sunbeam.rooster465.autos:443 cached
OK 96ms 186.246.21.156:40443 cached
OK 149ms 31.77.149.177:1997 cached
